SKU_ID,Category,Product_Name,Unit_Cost
SKU0001,Furniture,Product_1,240
SKU0002,Parts,Product_2,2350
SKU0003,Electronics,Product_3,1030
SKU0004,Furniture,Product_4,3025
SKU0005,Furniture,Product_5,1234
SKU0006,Parts,Product_6,3377
SKU0007,Electronics,Product_7,3444
SKU0008,Electronics,Product_8,177
SKU0009,Furniture,Product_9,2115
SKU0010,Appliances,Product_10,1866
SKU0011,Furniture,Product_11,619
SKU0012,Furniture,Product_12,1945
SKU0013,Furniture,Product_13,2783
SKU0014,Furniture,Product_14,3913
SKU0015,Parts,Product_15,4771
SKU0016,Electronics,Product_16,4064
SKU0017,Parts,Product_17,2951
SKU0018,Parts,Product_18,1736
SKU0019,Parts,Product_19,3059
SKU0020,Furniture,Product_20,204
SKU0021,Appliances,Product_21,2587
SKU0022,Electronics,Product_22,1459
SKU0023,Appliances,Product_23,4107
SKU0024,Parts,Product_24,834
SKU0025,Parts,Product_25,3225
SKU0026,Appliances,Product_26,4391
SKU0027,Appliances,Product_27,2856
SKU0028,Appliances,Product_28,587
SKU0029,Parts,Product_29,1891
SKU0030,Parts,Product_30,2505
SKU0031,Electronics,Product_31,574
SKU0032,Electronics,Product_32,3000
SKU0033,Parts,Product_33,4181
SKU0034,Appliances,Product_34,4830
SKU0035,Appliances,Product_35,4165
SKU0036,Electronics,Product_36,2418
SKU0037,Parts,Product_37,3897
SKU0038,Electronics,Product_38,4545
SKU0039,Electronics,Product_39,2751
SKU0040,Furniture,Product_40,1021
SKU0041,Furniture,Product_41,1216
SKU0042,Furniture,Product_42,4979
SKU0043,Appliances,Product_43,2824
SKU0044,Parts,Product_44,2032
SKU0045,Parts,Product_45,903
SKU0046,Parts,Product_46,4196
SKU0047,Parts,Product_47,3786
SKU0048,Furniture,Product_48,3819
SKU0049,Appliances,Product_49,624
SKU0050,Appliances,Product_50,3311
SKU0051,Furniture,Product_51,1198
SKU0052,Appliances,Product_52,1765
SKU0053,Furniture,Product_53,4827
SKU0054,Parts,Product_54,4983
SKU0055,Furniture,Product_55,3904
SKU0056,Parts,Product_56,2541
SKU0057,Parts,Product_57,2710
SKU0058,Electronics,Product_58,3174
SKU0059,Furniture,Product_59,3101
SKU0060,Electronics,Product_60,54
SKU0061,Furniture,Product_61,4919
SKU0062,Furniture,Product_62,926
SKU0063,Electronics,Product_63,1041
SKU0064,Electronics,Product_64,4192
SKU0065,Furniture,Product_65,4414
SKU0066,Appliances,Product_66,4515
SKU0067,Parts,Product_67,685
SKU0068,Electronics,Product_68,1743
SKU0069,Parts,Product_69,1732
SKU0070,Appliances,Product_70,4802
SKU0071,Appliances,Product_71,169
SKU0072,Appliances,Product_72,880
SKU0073,Electronics,Product_73,3725
SKU0074,Appliances,Product_74,1419
SKU0075,Electronics,Product_75,790
SKU0076,Appliances,Product_76,166
SKU0077,Parts,Product_77,2888
SKU0078,Parts,Product_78,1200
SKU0079,Furniture,Product_79,1981
SKU0080,Parts,Product_80,1062
SKU0081,Furniture,Product_81,1714
SKU0082,Parts,Product_82,1131
SKU0083,Electronics,Product_83,4779
SKU0084,Parts,Product_84,562
SKU0085,Furniture,Product_85,2899
SKU0086,Furniture,Product_86,609
SKU0087,Appliances,Product_87,3722
SKU0088,Electronics,Product_88,4633
SKU0089,Parts,Product_89,3393
SKU0090,Appliances,Product_90,4120
SKU0091,Parts,Product_91,4849
SKU0092,Parts,Product_92,1520
SKU0093,Appliances,Product_93,630
SKU0094,Appliances,Product_94,2344
SKU0095,Appliances,Product_95,3197
SKU0096,Appliances,Product_96,4299
SKU0097,Appliances,Product_97,1729
SKU0098,Parts,Product_98,3556
SKU0099,Appliances,Product_99,2794
SKU0100,Electronics,Product_100,3406
SKU0101,Furniture,Product_101,4095
SKU0102,Appliances,Product_102,1293
SKU0103,Appliances,Product_103,3168
SKU0104,Parts,Product_104,2191
SKU0105,Appliances,Product_105,3109
SKU0106,Appliances,Product_106,4598
